id, ob_time, src_id, wind_direction, wind_speed, visibility, air_temperature, dewpoint, cld_amt, cld_base_ht, alt_pres
ZBAA, 2013-02-01 00:00,30058,350,8,1000,-2,-8, , ,1028
ZBAA, 2013-02-01 03:00,30058,20,12,1000,1,-10, , ,1030
ZBAA, 2013-02-01 06:00,30058,350,8,1000,2,-14, , ,1030
ZBAA, 2013-02-01 09:00,30058,20,10,1000,2,-18, , ,1030
ZBAA, 2013-02-01 12:00,30058,30,6,1000,-2,-16, , ,1032
ZBAA, 2013-02-01 15:00,30058,20,10,1000,-4,-17, , ,1033
ZBAA, 2013-02-01 18:00,30058,40,2,1000,-6,-17, , ,1034
ZBAA, 2013-02-01 21:00,30058,340,6,1000,-11,-16, , ,1034
ZBAA, 2013-02-02 00:00,30058,340,8,1000,-8,-15, , ,1034
ZBAA, 2013-02-02 03:00,30058,320,4,1000,-1,-15, , ,1034
ZBAA, 2013-02-02 06:00,30058, ,4,1000,3,-15, , ,1030
ZBAA, 2013-02-02 09:00,30058,190,4,1000,2,-15, , ,1029
ZBAA, 2013-02-02 12:00,30058,180,6,1000,-1,-10, , ,1028
ZBAA, 2013-02-02 15:00,30058,80,2,600,-4,-9, , ,1028
ZBAA, 2013-02-02 18:00,30058,110,2,500,-4,-10, , ,1026
ZBAA, 2013-02-02 21:00,30058,120,4,600,-3,-6, , ,1023
ZBAA, 2013-02-03 00:00,30058,120,4,150,-3,-3,8,99,1022
ZBAA, 2013-02-03 03:00,30058,120,4,90,-2,-3,1,12,1021
ZBAA, 2013-02-03 06:00,30058,80,4,90,-2,-3,3,12,1018
ZBAA, 2013-02-03 09:00,30058,50,2,110,-2,-2,8,120,1017
ZBAA, 2013-02-03 12:00,30058,10,2,170,-2,-3,1,18,1018
ZBAA, 2013-02-03 15:00,30058,360,6,130,-6,-7,8,120,1020
ZBAA, 2013-02-03 18:00,30058,330,6,250,-5,-5, , ,1022
ZBAA, 2013-02-03 21:00,30058,350,16,1000,-4,-11, , ,1027
ZBAA, 2013-02-04 00:00,30058,10,8,1000,-7,-15, , ,1031
ZBAA, 2013-02-04 03:00,30058,40,8,1000,-3,-15, , ,1033
ZBAA, 2013-02-04 06:00,30058,60,6,1000,0,-14, , ,1029
ZBAA, 2013-02-04 09:00,30058,170,4,1000,-1,-12, , ,1028
ZBAA, 2013-02-04 12:00,30058,190,6,1000,-2,-12, , ,1029
ZBAA, 2013-02-04 15:00,30058,160,6,1000,-3,-8, , ,1028
ZBAA, 2013-02-04 18:00,30058,160,6,1000,-3,-6, , ,1026
ZBAA, 2013-02-04 21:00,30058,120,4,1000,-4,-7, , ,1025
ZBAA, 2013-02-05 00:00,30058,140,4,1000,-4,-6,1,78,1025
ZBAA, 2013-02-05 03:00,30058,200,6,270,-3,-3,8,120,1024
ZBAA, 2013-02-05 06:00,30058,150,4,380,-2,-3,6,120,1022
ZBAA, 2013-02-05 09:00,30058,180,6,500,-2,-5,6,120,1022
ZBAA, 2013-02-05 12:00,30058,170,4,800,-4,-6, , ,1024
ZBAA, 2013-02-05 15:00,30058, ,2,500,-8,-9, , ,1024
ZBAA, 2013-02-05 18:00,30058,360,4,250,-11,-12, , ,1024
ZBAA, 2013-02-05 21:00,30058, ,2,280,-9,-9, , ,1023
ZBAA, 2013-02-06 00:00,30058, ,2,300,-9,-10, , ,1024
ZBAA, 2013-02-06 03:00,30058, ,2,700,2,-5, , ,1024
ZBAA, 2013-02-06 06:00,30058,310,16,1000,4,-19, , ,1023
ZBAA, 2013-02-06 09:00,30058,360,25,1000,-3,-24, , ,1027
ZBAA, 2013-02-06 12:00,30058,360,23,1000,-8,-26, , ,1033
ZBAA, 2013-02-06 15:00,30058,340,17,1000,-9,-27, , ,1035
ZBAA, 2013-02-06 18:00,30058,350,12,1000,-11,-26, , ,1037
ZBAA, 2013-02-06 21:00,30058,30,6,1000,-15,-25, , ,1037
ZBAA, 2013-02-07 00:00,30058,360,8,1000,-14,-26, , ,1040
ZBAA, 2013-02-07 03:00,30058,30,8,1000,-9,-27, , ,1040
ZBAA, 2013-02-07 06:00,30058,30,6,1000,-5,-25, , ,1038
ZBAA, 2013-02-07 09:00,30058,30,4,1000,-5,-23, , ,1037
ZBAA, 2013-02-07 12:00,30058,20,6,1000,-8,-22, , ,1039
ZBAA, 2013-02-07 15:00,30058,30,10,1000,-9,-24, , ,1041
ZBAA, 2013-02-07 18:00,30058,30,6,1000,-10,-24, , ,1040
ZBAA, 2013-02-07 21:00,30058,350,4,1000,-13,-22, , ,1039
ZBAA, 2013-02-08 00:00,30058,20,2,1000,-13,-20, , ,1038
ZBAA, 2013-02-08 03:00,30058,120,4,1000,-6,-23, , ,1038
ZBAA, 2013-02-08 06:00,30058, ,2,1000,-3,-20, , ,1034
ZBAA, 2013-02-08 09:00,30058,190,8,1000,-4,-17, , ,1032
ZBAA, 2013-02-08 12:00,30058, ,2,1000,-6,-14, , ,1031
ZBAA, 2013-02-08 15:00,30058,160,4,1000,-8,-14, , ,1030
ZBAA, 2013-02-08 18:00,30058,150,4,1000,-9,-14, , ,1029
ZBAA, 2013-02-08 21:00,30058,50,2,700,-12,-15, , ,1027
ZBAA, 2013-02-09 00:00,30058,50,2,450,-11,-13, , ,1026
ZBAA, 2013-02-09 03:00,30058,20,4,600,-4,-13, , ,1026
ZBAA, 2013-02-09 06:00,30058, ,2,800,2,-14, , ,1023
ZBAA, 2013-02-09 09:00,30058,210,4,700,1,-13, , ,1023
ZBAA, 2013-02-09 12:00,30058,290,4,600,-1,-11, , ,1025
ZBAA, 2013-02-09 15:00,30058,50,8,1000,-3,-17, , ,1027
ZBAA, 2013-02-09 18:00,30058,10,4,1000,-7,-16, , ,1028
ZBAA, 2013-02-09 21:00,30058,30,6,1000,-4,-19, , ,1029
ZBAA, 2013-02-10 00:00,30058,40,8,1000,-4,-18, , ,1030
ZBAA, 2013-02-10 03:00,30058,30,10,1000,-2,-19, , ,1032
ZBAA, 2013-02-10 06:00,30058,40,6,1000,0,-22, , ,1031
ZBAA, 2013-02-10 09:00,30058,360,4,1000,0,-23, , ,1031
ZBAA, 2013-02-10 12:00,30058,350,4,1000,-5,-19, , ,1032
ZBAA, 2013-02-10 15:00,30058, ,2,1000,-8,-17, , ,1034
ZBAA, 2013-02-10 18:00,30058, ,2,1000,-7,-20, , ,1034
